LINKED_LAYER_NO,LINKED_SHRP_ID,SHRP_ID,STATE_CODE,LAYER_NO,FIELD_SET,TEST_NO,LOC_NO,SAMPLE_NO,CONSTRUCTION_NO,VISUAL_CLASS
2,508,502,4,2,1,2,TP2,BG91,1,255
2,508,507,4,2,1,1,BA*,BG*5,1,215
2,509,507,4,2,1,1,BA*,BG*5,1,215
1,559,504,4,1,1,2,TP1,BS92,1,265
2,560,507,4,2,1,1,BA*,BG*5,1,215
2,560,559,4,2,1,2,BA*,BG*4,1,205
2,601,604,4,2,1,1,BA*,BG*2,1,302
2,604,603,4,2,1,2,BA*,BG*4,1,302
3,605,662,4,3,1,2,BA*,BG*3,1,302
3,607,603,4,2,1,2,BA*,BG*4,1,302
3,607,662,4,3,1,2,BA*,BG*3,1,302
2,660,608,4,3,1,2,BA*,BG*1,1,302
2,661,604,4,2,1,1,BA*,BG*2,1,302
2,663,603,4,2,1,2,BA*,BG*4,1,302
2,663,608,4,3,1,2,BA*,BG*1,1,302
2,666,608,4,3,1,2,BA*,BG*1,1,302
2,667,604,4,2,1,1,BA*,BG*2,1,302
2,667,662,4,3,1,2,BA*,BG*3,1,302
1,1002,1002,4,1,1,2,TP1,BS91,1,261
1,1007,1007,4,1,1,1,BA*,BS**,1,267
2,1016,1016,4,2,1,2,TP1,BG91,1,255
2,1017,1017,4,2,1,1,BA*,BG**,2,308
2,1024,1024,4,2,1,2,TP1,BG91,2,304
1,1025,1025,4,1,1,2,TP1,BS92,1,265
2,6053,6053,4,2,1,2,TP1,BG91,1,211
1,6054,6054,4,1,1,1,BA*,BS**,1,215
1,7079,7079,4,1,1,1,TP1,BS92,1,114
2,A310,1036,4,2,1,2,TP1,BG70,1,205
2,A320,1036,4,2,1,2,TP1,BG70,1,205
1,A350,1036,4,1,1,2,TP1,BS70,1,213
1,A350,1036,4,1,1,1,BA*,BS**,1,217
2,A390,1036,4,2,1,1,BA*,BG**,1,211
1,A444,7613,4,1,1,1,BA*,BS**,1,266
1,A449,7613,4,1,1,2,BA*,BS**,1,267
1,A450,7613,4,1,1,1,BA*,BS**,1,266
1,A461,7613,4,1,1,2,BA*,BS**,1,267
1,A903,A903,4,1,1,2,B24,BS24,1,261
2,B310,1021,4,2,1,2,TP1,BG91,1,205
2,B310,1021,4,2,1,1,BA*,BG**,1,205
2,B330,1021,4,2,1,1,BA*,BG**,1,205
2,B901,1007,4,2,1,1,BA*,BG**,1,261
1,B902,1007,4,1,1,1,BA*,BS**,1,267
1,B903,1007,4,1,1,2,TP1,BS91,1,215
1,B959,1007,4,1,1,1,BA*,BS**,1,267
2,561,501,6,2,1,1,BA2,BG02,1,302
1,B960,1007,4,1,1,2,TP1,BS91,1,215
1,B961,1007,4,1,1,1,BA*,BS**,1,267
2,C310,1017,4,2,1,1,BA*,BG**,2,308
2,C340,1017,4,2,1,1,BA*,BG**,2,308
2,D350,1016,4,2,1,2,TP1,BG91,1,255
1,114,114,5,1,5,1,BA*,BS**,1,214
2,114,114,5,2,5,2,BA*,BG**,1,302
1,116,124,5,1,1,2,B3,BS03,1,204
1,117,113,5,1,6,2,BA*,BS**,1,214
1,117,114,5,1,5,2,BA*,BS**,1,204
1,117,121,5,1,1,2,B2,BS02,1,214
1,118,118,5,1,1,2,B4,BS04,1,204
1,119,114,5,1,5,2,BA*,BS**,1,204
1,119,117,5,1,1,2,B5,BS05,1,214
1,120,117,5,1,7,2,BA*,BS**,1,214
1,120,119,5,1,1,2,B1,BS01,1,214
1,121,113,5,1,6,2,BA*,BS**,1,214
1,122,119,5,1,1,2,B1,BS01,1,214
3,215,223,5,3,1,3,B7,BG01,1,303
1,216,224,5,1,1,3,B5,BS05,1,217
1,219,215,5,1,1,3,B1,BS01,1,267
1,219,219,5,1,1,3,B3,BS03,1,267
3,224,214,5,3,4,2,BA*,BG**,2,308
1,3058,3058,5,1,1,2,BA*,BS**,1,202
2,4019,4019,5,2,1,2,BA*,BG**,1,306
1,A430,4021,5,1,1,1,BA*,BS**,1,265
3,A430,4021,5,3,1,1,BA*,BG**,1,308
1,201,210,6,1,1,1,B10,BS10,1,214
2,202,202,6,2,1,2,B11,BG11,1,302
1,204,210,6,1,1,1,B10,BS10,1,214
1,209,202,6,1,1,2,B11,BS11,1,214
1,211,211,6,1,1,1,B7,BS07,1,214
1,502,4155,1,1,1,2,BA*,BS**,1,216
2,502,508,1,2,1,2,BA6,BG12,1,310
2,503,504,1,2,4,2,BA304,BG310,2,306
2,503,506,1,2,4,2,BA303,BG306,2,306
2,503,508,1,2,1,2,BA5,BG10,1,310
2,503,4155,1,2,1,2,BA*,BG**,1,303
3,503,503,1,3,4,1,BA307,BG317,2,308
1,504,504,1,1,4,2,BA304,BS304,2,216
2,504,508,1,2,1,2,BA6,BG12,1,310
2,504,4155,1,2,1,2,BA*,BG**,1,303
3,504,504,1,3,4,2,BA305,BG311,2,308
1,505,506,1,1,4,2,BA301,BS301,2,216
1,505,508,1,1,1,2,BA6,BS06,1,214
2,505,502,1,2,1,1,TP1,BG56,1,310
2,505,4155,1,2,1,1,BA*,BG**,1,303
1,506,506,1,1,4,2,BA302,BS302,2,216
1,506,508,1,1,1,2,BA4,BS04,1,214
2,506,504,1,2,4,2,BA304,BG310,2,306
2,506,506,1,2,4,2,BA301,BG302,2,306
2,506,506,1,2,1,1,BA3,BG06,1,310
2,506,508,1,2,1,2,BA4,BG08,1,310
3,506,506,1,3,1,1,BA3,BG05,1,304
3,506,508,1,3,1,2,BA4,BG07,1,304
2,507,506,1,2,1,1,BA1,BG02,1,310
3,507,506,1,3,4,2,BA301,BG301,2,308
3,507,508,1,3,1,2,BA4,BG07,1,304
2,508,504,1,2,4,2,BA306,BG314,2,306
2,508,504,1,2,4,2,BA304,BG310,2,306
2,508,4155,1,2,1,1,BA*,BG**,1,303
3,508,506,1,3,1,1,BA1,BG01,1,304
1,509,506,1,1,1,1,BA2,BS02,1,214
2,509,504,1,2,4,2,BA306,BG314,2,306
3,509,506,1,3,4,2,BA303,BG305,2,308
1,563,502,1,1,1,1,TP1,BS55,1,214
1,563,4155,1,1,1,2,BA*,BS**,1,216
2,563,508,1,2,1,2,BA6,BG12,1,310
2,563,508,1,2,1,2,BA5,BG10,1,310
3,563,508,1,3,1,2,BA4,BG07,1,304
1,564,506,1,1,4,2,BA302,BS302,2,216
