LINKED_SHRP_ID,LINKED_LAYER_NO,SHRP_ID,STATE_CODE,LAYER_NO,FIELD_SET,TEST_NO,SHRP_TEST,LOC_NO,CONSTRUCTION_NO,SAMPLE_NO,THREE_PASSING,TWO_PASSING,ONE_AND_HALF_PASSING,ONE_PASSING,THREE_FOURTHS_PASSING,ONE_HALF_PASSING,THREE_EIGHTHS_PASSING,NO_4_PASSING,NO_10_PASSING,NO_40_PASSING,NO_80_PASSING,NO_200_PASSING
0506,2,0508,4,2,3,1,SS01,BA262,5,BG262,100,100,100,100,97,89,84,73,60,26,12,7.5
0507,1,0509,4,1,1,1,SS01,BA*,1,BS*2,100,100,99,98,98,95,93,83,68,44,35,24.39999962
0507,1,0509,4,1,4,3,SS01,TP1,6,BS01,100,100,100,99,95,79,73,60,48,21,8,4.900000095
0507,2,0507,4,2,1,6,UG01,BA*,1,BG*5,100,100,100,99,97,92,88,75,63,36,24,17.5
0508,1,0504,4,1,1,2,SS01,TP1,1,BS92,100,100,99,98,95,90,86,73,59,41,33,25.5
0508,1,0507,4,1,1,1,SS01,BA*,1,BS*1,100,100,99,97,95,89,86,72,62,44,34,26.39999962
0508,2,0508,4,2,3,1,SS01,BA261,5,BG261,100,100,100,100,97,91,86,75,64,32,15,9
0508,2,0559,4,2,1,2,UG01,BA*,1,BG*4,100,100,100,97,94,85,80,69,56,25,11,7
0509,1,0505,4,1,1,2,SS01,BA*,1,BS*3,100,100,100,99,97,96,94,87,74,55,47,38.70000076
0509,2,0506,4,2,4,3,UG01,TP2,7,BG02,100,100,100,100,98,96,95,89,75,50,42,34.40000153
0509,2,0507,4,2,1,1,UG01,BA*,1,BG*1,100,100,100,99,96,88,84,73,64,29,10,5.800000191
0509,2,0508,4,2,3,1,SS01,BA261,5,BG261,100,100,100,100,97,91,86,75,64,32,15,9
0559,1,0502,4,1,1,2,SS01,TP2,1,BS92,100,100,100,100,100,97,96,87,67,43,36,28.5
0559,2,0506,4,2,4,3,UG01,TP2,7,BG02,100,100,100,100,98,96,95,89,75,50,42,34.40000153
0560,1,0502,4,1,1,2,SS01,TP2,1,BS92,100,100,100,100,100,97,96,87,67,43,36,28.5
0560,1,0509,4,1,1,1,SS01,BA*,1,BS*2,100,100,99,98,98,95,93,83,68,44,35,24.39999962
0560,1,0559,4,1,1,2,SS01,BA*,1,BS*4,100,100,100,100,99,98,96,88,71,48,40,32.90000153
0560,2,0502,4,2,1,2,UG01,TP2,1,BG91,100,100,100,100,95,81,75,62,51,21,8,5.099999905
0560,2,0508,4,2,3,1,SS01,BA261,5,BG261,100,100,100,100,97,91,86,75,64,32,15,9
0601,2,0662,4,3,1,2,UG01,BA*,1,BG*3,100,100,100,100,97,85,76,62,52,39,34,26.29999924
0602,3,0662,4,3,1,2,UG01,BA*,1,BG*3,100,100,100,100,97,85,76,62,52,39,34,26.29999924
0603,1,0603,4,1,1,2,SS01,BA*,1,BS*4,100,100,100,100,93,85,77,61,52,43,37,27.89999962
0606,2,0603,4,2,1,2,UG01,BA*,1,BG*4,100,100,100,100,96,83,74,59,48,37,32,25.39999962
0606,2,0662,4,3,1,2,UG01,BA*,1,BG*3,100,100,100,100,97,85,76,62,52,39,34,26.29999924
0660,2,0662,4,3,1,2,UG01,BA*,1,BG*3,100,100,100,100,97,85,76,62,52,39,34,26.29999924
0662,3,0603,4,2,1,2,UG01,BA*,1,BG*4,100,100,100,100,96,83,74,59,48,37,32,25.39999962
0669,2,0604,4,2,1,1,UG01,BA*,1,BG*2,100,100,100,100,97,83,75,60,50,38,33,25.5
0669,2,0662,4,3,1,2,UG01,BA*,1,BG*3,100,100,100,100,97,85,76,62,52,39,34,26.29999924
0903,2,0902,4,2,1,2,UG01,B29,1,BG29,100,100,100,100,97,79,73,59,50,28,18,9.300000191
1017,1,1017,4,1,1,1,SS01,BA*,2,BS**,100,99,99,94,89,83,79,68,55,37,28,22.70000076
1024,1,1024,4,1,1,1,SS01,BA*,2,BS**,100,100,99,95,91,82,77,64,56,44,38,28.5
1025,1,1025,4,1,1,1,SS01,BA*,1,BS**,100,100,99,95,90,71,62,45,36,31,27,18.89999962
1037,2,1037,4,2,1,1,UG01,BA*,1,BG**,100,100,100,99,96,82,70,55,38,22,12,8.699999809
1062,1,1062,4,1,1,1,SS01,BA*,2,BS**,100,100,100,97,95,89,82,65,54,39,27,17.79999924
6053,2,6053,4,2,1,1,UG02,BA*,1,BG**,100,100,99,99,99,96,94,82,58,37,27,19.79999924
7079,1,7079,4,1,1,2,SS01,TP2,1,BS92,100,100,99,99,98,97,96,95,90,70,60,51.09999847
7614,1,7614,4,1,1,1,SS01,BA*,1,BS**,100,100,99,97,96,94,93,89,83,59,33,18.5
A446,1,7613,4,1,1,2,SS01,BA*,1,BS**,100,100,100,98,96,92,89,77,70,59,52,43.5
A450,1,7613,4,1,1,2,SS01,BA*,1,BS**,100,100,100,98,96,92,89,77,70,59,52,43.5
A452,1,7613,4,1,1,2,SS01,BA*,1,BS**,100,100,100,98,96,92,89,77,70,59,52,43.5
A452,1,7613,4,1,1,1,SS01,BA*,1,BS**,100,89,85,70,61,50,43,33,26,20,16,13.10000038
A454,1,7613,4,1,1,2,SS01,BA*,1,BS**,100,100,100,98,96,92,89,77,70,59,52,43.5
A456,1,7613,4,1,1,2,SS01,BA*,1,BS**,100,100,100,98,96,92,89,77,70,59,52,43.5
A903,2,A901,4,2,1,2,UG01,B323,1,BG23,100,100,100,100,96,82,75,59,45,24,15,8.899999619
B350,2,1021,4,2,1,2,UG01,TP1,1,BG91,100,100,100,98,96,90,86,73,59,41,24,11.19999981
B901,1,1007,4,1,1,1,SS01,BA*,1,BS**,100,100,100,99,97,94,92,83,61,39,30,23.5
B902,2,1007,4,2,1,1,UG01,BA*,1,BG**,100,100,100,95,89,83,79,69,45,20,12,7.599999905
B903,1,1007,4,1,1,1,SS01,BA*,1,BS**,100,100,100,99,97,94,92,83,61,39,30,23.5
B959,2,1007,4,2,1,2,UG01,TP1,1,BG91,100,100,100,95,91,86,83,75,60,23,11,7.099999905
B960,1,1007,4,1,1,1,SS01,BA*,1,BS**,100,100,100,99,97,94,92,83,61,39,30,23.5
