LINKED_LAYER_NO,LINKED_SHRP_ID,SHRP_ID,STATE_CODE,LAYER_NO,FIELD_SET,TEST_NO,LOC_NO,SAMPLE_NO,LIQUID_LIMIT,PLASTIC_LIMIT,PLASTICITY_INDEX,CONSTRUCTION_NO
2,0564,0508,1,2,1,2,BA6,BG12,,,NP,1
2,0564,4155,1,2,1,1,BA*,BG**,,,NP,1
2,0564,4155,1,2,1,2,BA*,BG**,,,NP,1
3,0564,0506,1,3,4,2,BA501,BG307,25,17,8,2
3,0564,0506,1,3,4,2,BA302,BG303,23,18,5,2
3,0564,0506,1,3,1,1,BA2,BG03,0,0,NP,1
1,0601,0608,1,1,3,1,BA503,BS303,37,14,23,2
2,0601,0606,1,2,3,1,BAX05,BGX01,16,14,2,2
1,0603,0606,1,1,3,1,BA511,BS306,45,18,27,2
2,0604,0605,1,2,1,3,TP1,BG57,14,12,2,2
2,0604,0606,1,2,3,1,BA512,BG305,18,14,4,2
1,0605,0605,1,1,1,3,TP1,BS57,30,18,12,2
2,0605,0606,1,2,3,2,BA506,BG309,19,13,6,2
2,0605,0606,1,2,1,3,TP2,BG58,12,10,2,2
1,0606,0606,1,1,3,2,BAX03,BSX03,45,18,27,2
2,0606,0606,1,2,3,2,BA506,BG309,19,13,6,2
2,0608,0606,1,2,3,1,BA512,BG305,18,14,4,2
1,0661,0606,1,1,3,2,BAX04,BSX04,53,18,35,2
2,0661,0606,1,2,3,2,BAX06,BGX02,17,13,4,2
1,0662,0606,1,1,3,2,BAX04,BSX04,53,18,35,2
1,0662,0606,1,1,1,3,TP2,BS58,50,22,28,2
2,0662,0606,1,2,3,2,BAX06,BGX02,17,13,4,2
2,0663,0606,1,2,3,2,BAX06,BGX02,17,13,4,2
1,1021,1021,1,1,1,2,TP1,BS55,28,19,9,1
1,3028,3028,1,1,1,2,BA*,BS**,44,18,26,1
3,3028,3028,1,3,1,1,BA*,BG**,,,NP,1
1,4007,4007,1,1,1,1,BA*,BS**,30,19,11,1
1,4126,4126,1,1,1,1,BA*,BS**,21,19,2,1
2,4127,4127,1,2,1,2,BA*,BG**,,,NP,2
1,4155,4155,1,1,1,1,BA*,BS**,21,19,2,1
2,4155,4155,1,2,1,1,BA*,BG**,,,NP,1
1,5008,5008,1,1,1,1,BA*,BS**,42,39,3,1
2,6012,6012,1,2,1,2,TP1,BG55,,,NP,1
1,A330,4125,1,1,1,1,BA*,BS**,23,15,8,1
2,A350,4125,1,2,1,2,BA*,BG**,25,18,7,1
1,B340,1019,1,1,1,1,BA*,BS**,17,15,2,1
1,B350,1019,1,1,1,1,BA*,BS**,17,15,2,1
1,C320,4155,1,1,1,1,BA*,BS**,21,19,2,1
1,C320,4155,1,1,1,2,BA*,BS**,23,19,4,1
2,C340,4155,1,2,1,1,BA*,BG**,,,NP,1
1,1001,1001,2,1,1,1,TP2,BS81,18,0,NP,1
3,1002,1002,2,3,1,2,TP2,BG81,0,0,NP,1
2,1008,1008,2,2,1,2,TP1,BG92,0,0,NP,1
1,0113,0120,4,1,1,2,B315,BS15,,,NP,1
1,0114,0114,4,1,1,2,B309,BS09,24,17,7,1
1,0116,0114,4,1,1,2,B309,BS09,24,17,7,1
1,0116,0117,4,1,1,2,B304,BS04,,,NP,1
1,0116,0124,4,1,1,2,B305,BS05,,,NP,1
1,0117,0119,4,1,1,2,B307,BS07,,,NP,1
2,0118,0118,4,2,1,2,B312,BG12,,,NP,1
2,0118,0160,4,2,1,2,B302,BG02,,,NP,1
1,0119,0119,4,1,1,2,B307,BS07,,,NP,1
2,0119,0119,4,2,1,2,B308,BG08,21,,NP,1
1,0120,0120,4,1,3,1,BA265,BS265,27,13,14,2
2,0120,0119,4,2,1,2,B308,BG08,21,,NP,1
1,0121,0121,4,1,1,2,B314,BS14,21,18,3,1
1,0161,0161,4,1,1,2,B318,BS18,,,NP,1
2,0214,0264,4,2,1,2,B314,BG14,,,NP,1
1,0216,0213,4,1,1,2,B311,BS61,,,NP,1
2,0216,0214,4,2,1,2,B302,BG02,,,NP,1
2,0216,0221,4,2,1,2,B310,BG10,,,NP,1
1,0219,0216,4,1,1,2,B306,BS06,22,19,3,1
1,0221,0213,4,1,1,2,B311,BS61,,,NP,1
1,0221,0261,4,1,1,2,B301,BS01,25,21,4,1
2,0221,0214,4,2,1,2,B302,BG02,,,NP,1
2,0221,0221,4,2,1,2,B310,BG10,,,NP,1
2,0221,0224,4,2,1,2,B305,BG05,,,NP,1
1,0222,0222,4,1,1,2,B303,BS03,31,20,11,1
2,0222,0221,4,2,1,2,B310,BG10,,,NP,1
2,0222,0260,4,2,1,2,B318,BG18,,,NP,1
1,0223,0216,4,1,1,2,B306,BS06,22,19,3,1
1,0224,0263,4,1,1,2,B313,BS13,28,20,8,1
2,0224,0215,4,2,1,2,B307,BG07,,,NP,1
1,0260,0260,4,1,1,2,B317,BS17,24,19,5,1
2,0260,0224,4,2,1,2,B305,BG05,,,NP,1
2,0261,0214,4,2,1,2,B302,BG02,,,NP,1
2,0261,0224,4,2,1,2,B305,BG05,,,NP,1
2,0263,0214,4,2,1,2,B302,BG02,,,NP,1
1,0264,0264,4,1,1,2,B15,BS15,40,18,22,1
1,0264,0267,4,1,1,2,B316,BS16,28,19,9,1
2,0264,0214,4,2,1,2,B302,BG02,,,NP,1
2,0264,0221,4,2,1,2,B310,BG10,,,NP,1
2,0264,0260,4,2,1,2,B318,BG18,,,NP,1
1,0265,0224,4,1,1,2,B13,BS13,31,24,7,1
1,0265,0264,4,1,1,2,B15,BS15,40,18,22,1
2,0265,0214,4,2,1,2,B302,BG02,,,NP,1
1,0266,0264,4,1,1,2,B15,BS15,40,18,22,1
1,0267,0218,4,1,1,2,B12,BS12,28,28,NP,1
1,0267,0265,4,1,1,2,B315,BS15,36,19,17,1
1,0268,0222,4,1,1,2,B303,BS03,31,20,11,1
2,0501,0504,4,2,1,2,TP1,BG91,,,NP,1
2,0501,0559,4,2,1,2,BA*,BG*4,,,NP,1
1,0502,0509,4,1,1,1,BA*,BS*2,23,18,5,1
2,0502,0502,4,2,1,2,TP2,BG91,,,NP,1
1,0503,0559,4,1,1,2,BA*,BS*4,24,18,6,1
2,0504,0509,4,2,1,1,BA*,BG*2,,,NP,1
1,0505,0506,4,1,4,3,TP2,BG02,23,16,7,7
1,0505,0507,4,1,1,1,BA*,BS*1,21,16,5,1
2,0505,0509,4,2,4,3,TP1,BS01,22,17,5,6
1,0506,0502,4,1,1,2,TP2,BS92,28,20,8,1
1,0506,0559,4,1,1,2,BA*,BS*4,24,18,6,1
2,0506,0559,4,2,1,2,BA*,BG*4,,,NP,1
2,0507,0507,4,2,1,1,BA*,BG*1,,,NP,1
1,0508,0504,4,1,1,2,TP1,BS92,22,16,6,1
1,0508,0505,4,1,1,2,BA*,BS*3,27,19,8,1
2,0508,0502,4,2,1,2,TP2,BG91,,,NP,1
2,0508,0507,4,2,1,1,BA*,BG*1,,,NP,1
2,0508,0509,4,2,4,3,TP1,BS01,22,17,5,6
