LINKED_LAYER_NO,LINKED_SHRP_ID,SHRP_ID,STATE_CODE,LAYER_NO,FIELD_SET,TEST_NO,LOC_NO,SAMPLE_NO,CONSTRUCTION_NO,VISUAL_CLASS
2,0563,0508,1,2,1,2,BA6,BG12,1,310
2,0563,0508,1,2,1,2,BA5,BG10,1,310
3,0563,0508,1,3,1,2,BA4,BG07,1,304
1,0564,0506,1,1,4,2,BA302,BS302,2,216
1,0564,4155,1,1,1,1,BA*,BS**,1,216
2,0564,0508,1,2,1,2,BA5,BG10,1,310
2,0564,0508,1,2,1,2,BA4,BG08,1,310
3,0564,0506,1,3,4,2,BA302,BG303,2,308
1,0601,0607,1,1,1,2,BA2,BS02,2,114
2,0602,0606,1,2,3,2,BAX06,BGX02,2,308
1,0604,0606,1,1,1,3,TP2,BS58,2,266
2,0604,0607,1,2,1,2,BA2,BG02,2,303
1,0605,0605,1,1,1,3,TP1,BS57,2,114
1,0605,0608,1,1,3,1,BA503,BS303,2,114
1,0606,0606,1,1,3,1,BAX02,BSX02,2,115
1,0606,0606,1,1,3,2,BAX04,BSX04,2,267
1,0606,0606,1,1,3,1,BA511,BS306,2,266
1,0606,0606,1,1,3,2,BA507,BS312,2,266
2,0608,0606,1,2,3,1,BAX05,BGX01,2,308
2,0662,0606,1,2,3,1,BAX05,BGX01,2,308
2,0662,0607,1,2,1,2,BA3,BG03,2,303
3,1011,1011,1,3,1,2,BA*,BG**,1,303
1,4155,4155,1,1,1,2,BA*,BS**,1,216
2,6019,6019,1,2,1,2,BA*,BG**,2,310
1,A330,4125,1,1,1,1,BA*,BS**,1,217
2,A330,4125,1,2,1,1,BA*,BG**,1,310
1,B330,1019,1,1,1,1,BA*,BS**,1,145
1,B340,1019,1,1,1,2,TP1,BS55,1,202
1,C310,4155,1,1,1,2,BA*,BS**,1,216
1,C310,4155,1,1,1,1,BA*,BS**,1,216
2,C330,4155,1,2,1,1,BA*,BG**,1,303
1,1001,1001,2,1,1,1,TP2,BS81,1,265
2,1001,1001,2,2,1,1,TP2,BG81,1,304
2,1004,1004,2,2,1,1,TP2,BG82,1,308
1,0113,0123,4,1,1,2,B306,BS06,1,211
1,0114,0116,4,1,1,2,B310,BS10,1,215
1,0115,0116,4,1,1,2,B310,BS10,1,215
1,0117,0122,4,1,1,2,B313,BS13,1,215
1,0118,0118,4,1,1,2,B311,BS11,1,217
2,0118,0160,4,2,1,2,B302,BG02,1,304
2,0118,0161,4,2,1,2,B319,BG19,1,302
1,0119,0114,4,1,1,2,B309,BS09,1,215
1,0119,0117,4,1,1,2,B304,BS04,1,215
1,0120,0120,4,1,1,2,B315,BS15,1,211
2,0121,0120,4,2,1,2,B316,BG16,1,302
