LINKED_SHRP_ID,LINKED_LAYER_NO,SHRP_ID,STATE_CODE,LAYER_NO,FIELD_SET,TEST_NO,LOC_NO,SAMPLE_NO,CONSTRUCTION_NO,MAX_LAB_DRY_DENSITY,OPTIMUM_LAB_MOISTURE
0117,2,0118,4,2,1,2,B312,BG12,1,2274.8,6
0117,2,0120,4,2,1,2,B316,BG16,1,2258.8,4
0119,1,0119,4,1,1,2,B307,BS07,1,2210.8,8
0119,2,0160,4,2,1,2,B302,BG02,1,2274.8,5
0120,1,0120,4,1,1,2,B315,BS15,1,1922.4,13
0120,2,0118,4,2,1,2,B312,BG12,1,2274.8,6
0122,1,0116,4,1,1,2,B310,BS10,1,2162.7,8
0122,1,0119,4,1,1,2,B307,BS07,1,2210.8,8
0123,1,0123,4,1,1,2,B306,BS06,1,2162.7,8
0124,1,0116,4,1,1,2,B310,BS10,1,2162.7,8
0124,1,0117,4,1,1,2,B304,BS04,1,2146.7,8
0160,2,0119,4,2,1,2,B308,BG08,1,2274.8,5
0161,2,0160,4,2,1,2,B302,BG02,1,2274.8,5
0163,1,0160,4,1,1,2,B301,BS01,1,2178.7,8
0213,1,0216,4,1,1,2,B306,BS06,1,2082.6,9
0217,1,0213,4,1,1,2,B311,BS61,1,2050.6,10
0219,1,0213,4,1,1,2,B311,BS61,1,2050.6,10
0221,1,0261,4,1,1,2,B301,BS01,1,1986.5,10
0221,2,0215,4,2,1,2,B307,BG07,1,2290.9,6
0221,2,0260,4,2,1,2,B318,BG18,1,2290.9,6
0222,2,0215,4,2,1,2,B307,BG07,1,2290.9,6
0223,1,0213,4,1,1,2,B311,BS61,1,2050.6,10
0223,1,0217,4,1,1,2,B309,BS09,1,2050.6,10
0223,1,0223,4,1,1,2,B308,BS08,1,2082.6,10
0223,2,0214,4,2,1,2,B302,BG02,1,2274.8,6
0224,1,0265,4,1,1,2,B315,BS15,1,1970.5,12
0224,1,0267,4,1,1,2,B316,BS16,1,1986.5,10
0224,2,0224,4,2,1,2,B305,BG05,1,2290.9,6
0260,2,0221,4,2,1,2,B310,BG10,1,2274.8,6
0260,2,0224,4,2,1,2,B305,BG05,1,2290.9,6
0261,2,0215,4,2,1,2,B307,BG07,1,2290.9,6
0261,2,0221,4,2,1,2,B310,BG10,1,2274.8,6
0262,2,0224,4,2,1,2,B305,BG05,1,2290.9,6
0263,1,0220,4,1,1,2,B304,BS04,1,1970.5,12
0263,1,0222,4,1,1,2,B303,BS03,1,2034.5,11
0263,1,0263,4,1,1,2,B313,BS13,1,1954.4,11
0263,2,0260,4,2,1,2,B318,BG18,1,2290.9,6
0264,1,0220,4,1,1,2,B304,BS04,1,1970.5,12
0264,2,0262,4,2,1,2,B312,BG12,1,2258.8,5
0265,1,0222,4,1,1,2,B303,BS03,1,2034.5,11
0266,1,0265,4,1,1,2,B315,BS15,1,1970.5,12
0267,1,0263,4,1,1,2,B313,BS13,1,1954.4,11
0501,1,0509,4,1,1,1,BA*,BS*2,1,2082.6,8
0501,2,0509,4,2,4,3,TP1,MG01,6,2082.6,9
0502,1,0559,4,1,1,2,BA*,BS*4,1,1986.5,10
0502,2,0506,4,2,4,3,TP2,MG02,7,2066.6,9
0502,2,0509,4,2,1,2,BA*,BG*6,1,2210.8,5
0503,1,0505,4,1,1,2,BA*,BS*3,1,2018.5,9
0503,1,0506,4,1,4,3,TP2,MS02,7,2162.7,7
0503,2,0502,4,2,1,2,TP2,BG91,1,2114.6,7
0504,1,0502,4,1,1,2,TP2,BS92,1,2050.6,8
0504,1,0504,4,1,1,2,TP1,BS92,1,2146.7,7
0504,1,0505,4,1,1,2,BA*,BS*3,1,2018.5,9
0504,1,0509,4,1,1,1,BA*,BS*2,1,2082.6,8
0504,2,0507,4,2,1,1,BA*,BG*5,1,2210.8,6
0504,2,0509,4,2,1,1,BA*,BG*2,1,2050.6,8
0505,1,0509,4,1,1,1,BA*,BS*2,1,2082.6,8
0505,2,0505,4,2,1,2,BA*,BG*3,1,2066.6,8
0505,2,0509,4,2,4,3,TP1,MG01,6,2082.6,9
0506,2,0509,4,2,1,2,BA*,BG*6,1,2210.8,5
0507,2,0507,4,2,1,1,BA*,BG*1,1,2066.6,8
0508,1,0504,4,1,1,2,TP1,BS92,1,2146.7,7
0508,1,0509,4,1,1,1,BA*,BS*2,1,2082.6,8
0509,1,0502,4,1,1,2,TP2,BS92,1,2050.6,8
0509,1,0504,4,1,1,2,TP1,BS92,1,2146.7,7
0559,1,0504,4,1,1,2,TP1,BS92,1,2146.7,7
0559,2,0504,4,2,1,2,TP1,BG91,1,2082.6,7
0559,2,0508,4,2,3,1,BA261,BG261,5,2156.3,6
0560,1,0507,4,1,1,1,BA*,BS*1,1,2130.7,7
0560,1,0509,4,1,1,1,BA*,BS*2,1,2082.6,8
0560,2,0502,4,2,1,2,TP2,BG91,1,2114.6,7
0560,2,0509,4,2,1,1,BA*,BG*2,1,2050.6,8
0560,2,0509,4,2,1,2,BA*,BG*6,1,2210.8,5
0601,2,0608,4,3,1,2,BA*,BG*1,1,2194.7,6
