LINKED_LAYER_NO,LINKED_SHRP_ID,SHRP_ID,STATE_CODE,LAYER_NO,FIELD_SET,TEST_NO,LOC_NO,SAMPLE_NO,CONSTRUCTION_NO,MAX_LAB_DRY_DENSITY,OPTIMUM_LAB_MOISTURE
2,0502,0560,6,2,1,1,BA7,BG01,1,2146.70,7
2,0502,0568,6,2,1,1,BA12,BG02,1,2146.70,7
1,0503,0501,6,1,1,1,BA1,BS01,1,1954.40,10
1,0503,0502,6,1,3,1,BA020*,BS020*,4,1986.50,10
1,0503,0504,6,1,3,2,BA040*,BS040*,3,1986.50,10
1,0503,0509,6,1,1,2,BA5,BS01,1,1954.40,11
1,0503,0566,6,1,1,2,TP4,BS92,1,1890.40,12
2,0503,0505,6,2,1,2,BA3,BG01,1,2050.60,9
2,0503,0508,6,2,3,1,BA080*,BG080*,3,2082.60,8
2,0503,0561,6,2,1,2,TP3,BG92,1,2050.60,8
1,0504,0501,6,1,1,1,BA2,BS02,1,1986.50,10
1,0504,0502,6,1,3,1,BA020*,BS020*,4,1986.50,10
1,0504,0509,6,1,1,2,BA5,BS01,1,1954.40,11
1,0504,0560,6,1,1,1,BA8,BS02,1,2018.50,10
1,0504,0566,6,1,1,2,TP4,BS92,1,1890.40,12
2,0504,0508,6,2,3,1,BA080*,BG080*,3,2082.60,8
2,0504,0568,6,2,1,1,BA12,BG02,1,2146.70,7
1,0505,0501,6,1,1,1,BA2,BS02,1,1986.50,10
2,0505,0566,6,2,1,1,TP4,BG91,1,2114.60,7
2,0506,0505,6,2,1,2,BA4,BG02,1,2034.50,10
1,0507,0507,6,1,1,2,TP2,BS93,1,1954.40,11
1,0507,0560,6,1,1,1,BA7,BS01,1,2002.50,9
2,0507,0502,6,2,1,2,TP1,BG92,1,2002.50,10
2,0507,0504,6,2,3,2,BA040*,BG040*,3,2066.60,10
2,0507,0508,6,2,3,1,BA08**,BG08**,3,2082.60,8
2,0507,0566,6,2,1,1,TP4,BG91,1,2114.60,7
1,0508,0501,6,1,1,1,BA1,BS01,1,1954.40,10
1,0508,0504,6,1,3,2,BA040*,BS040*,3,1986.50,10
1,0508,0508,6,1,3,1,BA080*,BS080*,3,2018.50,9
2,0508,0501,6,2,1,1,BA1,BG01,1,2050.60,9
2,0508,0502,6,2,3,1,BA020*,BG020*,4,2066.60,8
2,0508,0504,6,2,3,2,BA04**,BG04**,3,2082.60,8
2,0508,0508,6,2,3,1,BA08**,BG08**,3,2082.60,8
2,0508,0564,6,2,1,2,BA9,BG01,1,2146.70,7
1,0509,0502,6,1,1,2,TP1,BS93,1,1922.40,10
1,0509,0505,6,1,1,2,BA4,BS02,1,1970.50,12
1,0509,0566,6,1,1,2,TP4,BS92,1,1890.40,12
2,0509,0502,6,2,3,1,BA020*,BG020*,4,2066.60,8
2,0509,0508,6,2,3,1,BA080*,BG080*,3,2082.60,8
2,0509,0509,6,2,1,2,BA5,BG01,1,2050.60,9
1,0559,0568,6,1,1,1,BA12,BS02,1,1954.40,11
2,0559,0502,6,2,1,2,TP1,BG92,1,2002.50,10
2,0559,0508,6,2,3,1,BA080*,BG080*,3,2082.60,8
2,0560,0509,6,2,1,2,BA6,BG02,1,2002.50,9
1,0561,0502,6,1,3,1,BA020*,BS020*,4,1986.50,10
1,0561,0560,6,1,1,1,BA7,BS01,1,2002.50,9
2,0561,0502,6,2,3,1,BA02**,BG02**,4,2066.60,8
1,0566,0505,6,1,1,2,BA3,BS01,1,1986.50,10
1,0566,0507,6,1,1,2,TP2,BS93,1,1954.40,11
1,0566,0509,6,1,1,2,BA5,BS01,1,1954.40,11
2,0566,0502,6,2,1,2,TP1,BG92,1,2002.50,10
1,0567,0504,6,1,3,2,BA040*,BS040*,3,1986.50,10
1,0567,0505,6,1,1,2,BA4,BS02,1,1970.50,12
1,0567,0507,6,1,1,2,TP2,BS93,1,1954.40,11
1,0567,0509,6,1,1,2,BA6,BS02,1,1954.40,10
2,0567,0504,6,2,3,2,BA04**,BG04**,3,2082.60,8
2,0567,0507,6,2,1,2,TP2,BG92,1,2018.50,10
2,0567,0564,6,2,1,2,BA10,BG02,1,2130.70,7
2,0568,0502,6,2,1,2,TP1,BG92,1,2002.50,10
2,0568,0504,6,2,3,2,BA04**,BG04**,3,2082.60,8
2,0568,0564,6,2,1,2,BA10,BG02,1,2130.70,7
1,0569,0502,6,1,1,2,TP1,BS93,1,1922.40,10
1,0569,0505,6,1,1,2,BA4,BS02,1,1970.50,12
1,0569,0508,6,1,3,1,BA080*,BS080*,3,2018.50,9
1,0569,0566,6,1,1,2,TP4,BS92,1,1890.40,12
2,0569,0505,6,2,1,2,BA4,BG02,1,2034.50,10
1,0570,0502,6,1,3,1,BA020*,BS020*,4,1986.50,10
1,0570,0507,6,1,1,2,TP2,BS93,1,1954.40,11
1,0571,0505,6,1,1,2,BA4,BS02,1,1970.50,12
1,0571,0508,6,1,3,1,BA080*,BS080*,3,2018.50,9
2,3811,3811,12,2,1,1,BA*,BG**,1,1826.30,11
1,3995,3995,12,1,1,2,TP1,BS55,1,1650.10,13
2,0571,0501,6,2,1,1,BA1,BG01,1,2050.60,9
2,0571,0504,6,2,3,2,BA04**,BG04**,3,2082.60,8
2,0571,0561,6,2,1,2,TP3,BG92,1,2050.60,8
1,0603,0659,6,1,3,1,BA262,BS262,4,1794.20,12
1,0603,3005,6,1,1,1,BA*,BS**,1,1826.30,14
1,0604,0659,6,1,3,1,BA262,BS262,4,1794.20,12
1,0605,0606,6,1,3,2,BAX01,BSX01,6,1800.60,12
1,0605,3005,6,1,1,1,BA*,BS**,1,1826.30,14
1,0659,0659,6,1,3,1,BA262,BS262,4,1794.20,12
1,0660,0660,6,1,3,1,BA261,BS261,8,1634.00,16
1,0811,0811,6,1,1,1,B7,BS07,1,1826.30,11
1,0812,0812,6,1,1,2,B8,BS08,1,1746.20,14
2,1253,1253,6,2,1,1,BA*,BG**,1,2242.80,6
1,2002,2002,6,1,1,2,TP1,BS92,1,1730.20,15
2,2038,2038,6,2,1,2,TP1,BG91,1,2290.90,7
2,2038,2038,6,2,1,1,BA*,BG**,1,2387.00,6
1,2041,2041,6,1,1,2,TP1,BS92,1,2034.50,9
2,2041,2041,6,2,1,2,TP1,BG91,1,2226.80,5
1,2647,2647,6,1,1,1,BA*,BS**,1,2066.60,10
2,2647,2647,6,2,1,2,TP1,BG91,1,2082.60,9
1,3010,3010,6,1,1,2,BA*,BS**,1,2050.60,10
