LINKED_SHRP_ID,LINKED_LAYER_NO,SHRP_ID,STATE_CODE,LAYER_NO,TEST_NO,FIELD_SET,LOC_NO,SAMPLE_NO,MR_MATL_TYPE,MAX_DRY_DENSITY,COMP_MOIST_CONT,COMP_DRY_DENSITY,CONSTRUCTION_NO
B320,1,1021,4,1,1,1,BA*,BS**,2,2034.300049,9.5,1946.800049,1
B350,1,1021,4,1,1,1,BA*,BS**,2,2034.300049,9.5,1946.800049,1
B901,1,1007,4,1,2,1,TP1,BS91,2,2018.300049,8.899999619,1946.400024,1
B964,1,1007,4,1,2,1,TP1,BS91,2,2018.300049,8.899999619,1946.400024,1
B964,1,1007,4,1,1,1,BA*,BS**,2,1986.199951,9.600000381,1904.199951,1
C320,1,1017,4,1,1,1,BA*,BS**,2,2050.300049,9.300000191,1974.199951,2
D310,2,1016,4,2,1,1,BA*,BG**,2,2098.399902,8,1988.099976,1
D320,2,1016,4,2,1,1,BA*,BG**,2,2098.399902,8,1988.099976,1
113,2,114,5,2,2,5,BA*,BG**,1,2178.5,6.400000095,2104.199951,1
114,2,114,5,2,1,5,BA*,BG**,1,2194.5,5.599999905,2116.5,1
216,1,224,5,1,2,4,BA*,BS**,1,2146.5,7.400000095,2083.300049,4
3073,3,3073,5,3,2,1,BA*,BG**,1,,6.699999809,2088.800049,1
203,2,211,6,2,1,1,B13,BG13,1,2226.600098,6.599999905,2149.300049,1
204,2,212,6,2,1,1,B15,BG15,1,2178.5,8.699999809,2101,1
206,1,206,6,1,1,3,BA264,BS264,2,1818.099976,10.89999962,1721.900024,2
206,1,206,6,1,1,1,B9,BS09,2,1778,12.80000019,1668,1
208,1,210,6,1,1,1,B10,BS10,2,1826.099976,10.89999962,1709.400024,1
209,2,211,6,2,1,1,B13,BG13,1,2226.600098,6.599999905,2149.300049,1
209,2,211,6,2,1,1,B40,BG40,1,2226.600098,6.099999905,2168.699951,1
209,2,212,6,2,1,1,B15,BG15,1,2178.5,8.699999809,2101,1
210,1,202,6,1,2,1,B11,BS11,2,1826.099976,10.5,1730.699951,1
210,1,204,6,1,2,1,B12,BS12,2,1842.099976,10,1728.400024,1
211,1,202,6,1,2,1,B11,BS11,2,1826.099976,10.5,1730.699951,1
211,2,202,6,2,2,1,B11,BG11,1,2178.5,7.400000095,2130.699951,1
212,1,204,6,1,2,1,B12,BS12,2,1842.099976,10,1728.400024,1
502,2,561,6,2,2,1,TP3,BG91,1,2050.399902,8.199999809,1984.300049,1
504,1,560,6,1,1,1,BA8,BS02,2,2018.300049,9.699999809,1915,1
504,2,505,6,2,1,1,BA4,BG02,1,2034.300049,8.800000191,1988.800049,1
505,2,564,6,2,2,1,BA10,BG02,1,2130.5,6.099999905,2098.100098,1
506,1,561,6,1,2,1,TP3,BS93,2,1954.300049,10,1836.900024,1
106,2,160,10,2,2,2,BAX07,BSX07,2,1928.599976,9.100000381,1829.699951,2
107,1,103,10,1,2,1,B10,BS10,2,1922.199951,8.899999619,1821.699951,1
507,2,505,6,2,1,1,BA4,BG02,1,2034.300049,8.800000191,1988.800049,1
507,2,507,6,2,2,1,TP2,BG92,1,2018.300049,9.699999809,1967.5,1
507,2,560,6,2,1,1,BA7,BG01,1,2146.5,6,2100.699951,1
508,1,560,6,1,1,1,BA8,BS02,2,2018.300049,9.699999809,1915,1
508,2,561,6,2,2,1,TP3,BG91,1,2050.399902,8.199999809,1984.300049,1
508,2,564,6,2,2,1,BA10,BG05,1,2178.5,6.199999809,2120.899902,1
508,2,564,6,2,2,1,BA9,BG04,1,2130.5,7.199999809,2067.199951,1
509,1,507,6,1,2,1,TP2,BS93,2,1954.300049,11,1855.900024,1
509,2,502,6,2,2,1,TP1,BG92,1,2002.300049,10.10000038,1941.099976,1
509,2,564,6,2,2,1,BA9,BG01,1,2146.5,6.900000095,2096.699951,1
559,2,561,6,2,2,1,TP3,BG91,1,2050.399902,8.199999809,1984.300049,1
560,2,568,6,2,1,1,BA11,BG01,1,2114.399902,6.900000095,2062.199951,1
566,1,560,6,1,1,1,BA7,BS01,2,2002.300049,8.899999619,1896.599976,1
567,1,507,6,1,2,1,TP2,BS93,2,1954.300049,11,1855.900024,1
568,2,560,6,2,1,1,BA7,BG01,1,2146.5,6,2100.699951,1
568,2,564,6,2,2,1,BA9,BG04,1,2130.5,7.199999809,2067.199951,1
569,2,507,6,2,2,1,TP2,BG92,1,2018.300049,9.699999809,1967.5,1
569,2,560,6,2,1,1,BA8,BG02,1,2098.399902,8.300000191,2039.599976,1
569,2,564,6,2,2,1,BA9,BG01,1,2146.5,6.900000095,2096.699951,1
570,1,560,6,1,1,1,BA8,BS02,2,2018.300049,9.699999809,1915,1
570,2,560,6,2,1,1,BA7,BG01,1,2146.5,6,2100.699951,1
570,2,561,6,2,2,1,TP3,BG91,1,2050.399902,8.199999809,1984.300049,1
571,1,561,6,1,2,1,TP3,BS93,2,1954.300049,10,1836.900024,1
571,2,505,6,2,1,1,BA4,BG02,1,2034.300049,8.800000191,1988.800049,1
812,1,811,6,1,1,3,BA664,BS664,2,1731.599976,12.69999981,1632.300049,2
2051,1,2051,6,1,2,1,TP1,BG55,2,1842.099976,16.5,1756.599976,1
3021,2,3021,6,2,1,1,BA*,BG**,2,2050.300049,8.699999809,1946,1
8201,1,8201,6,1,2,1,TP1,BS92,2,,12.10000038,2012.699951,1
8201,2,8201,6,2,2,1,TP1,BG91,2,,8,2027,1
8202,1,8202,6,1,1,1,BA*,BS**,2,1826.099976,11.5,1717,1
502,2,504,1,2,2,4,BA304,BG310,2,2066.399902,8.699999809,1957.599976,2
502,2,504,1,2,2,4,BA306,BG314,2,2082.399902,8,1978.300049,2
502,2,506,1,2,2,4,BA302,BG304,2,2146.5,5.900000095,2029.300049,2
502,3,504,1,3,2,4,BA305,BG311,1,2226.600098,6.099999905,2147.699951,2
503,1,506,1,1,2,4,BA301,BS301,2,2034.300049,8.800000191,1934.699951,2
503,1,4155,1,1,1,1,BA*,BS**,2,,10.30000019,1938.199951,1
503,2,502,1,2,1,1,TP1,BG56,2,2018.300049,9.399999619,1897.900024,1
504,3,504,1,3,2,4,BA304,BG309,1,2242.600098,6,2095.300049,2
504,3,504,1,3,2,4,BA306,BG313,1,2226.600098,6.199999809,2139,2
504,3,504,1,3,2,4,BA305,BG311,1,2226.600098,6.099999905,2147.699951,2
505,1,4155,1,1,1,1,BA*,BS**,2,,10.30000019,1938.199951,1
505,2,506,1,2,2,4,BA302,BG304,2,2146.5,5.900000095,2029.300049,2
506,2,504,1,2,2,4,BA304,BG310,2,2066.399902,8.699999809,1957.599976,2
506,2,4155,1,2,1,1,BA*,BG**,1,,4.800000191,2136.899902,1
507,1,4155,1,1,1,1,BA*,BS**,2,,10.30000019,1938.199951,1
507,2,4155,1,2,1,1,BA*,BG**,1,,4.800000191,2136.899902,1
508,2,506,1,2,2,4,BA301,BG302,2,2178.5,6.900000095,2041.099976,2
508,2,506,1,2,2,4,BA303,BG306,2,2114.399902,6.900000095,2003.099976,2
509,1,4155,1,1,1,1,BA*,BS**,2,,10.30000019,1938.199951,1
509,2,502,1,2,1,1,TP1,BG56,2,2018.300049,9.399999619,1897.900024,1
509,2,506,1,2,2,4,BA301,BG302,2,2178.5,6.900000095,2041.099976,2
509,3,506,1,3,2,4,BA301,BG301,1,2208.899902,6.199999809,2075.600098,2
563,2,506,1,2,2,4,BA303,BG306,2,2114.399902,6.900000095,2003.099976,2
564,1,506,1,1,2,4,BA301,BS301,2,2034.300049,8.800000191,1934.699951,2
603,1,606,1,1,2,3,BAX04,BSX04,2,1744.400024,13.80000019,1657,2
603,1,606,1,1,1,3,BAX02,BSX02,2,1858.099976,14,1775.699951,2
604,1,606,1,1,2,3,BAX03,BSX03,2,1810.099976,13.80000019,1725.599976,2
