LINKED_LAYER_NO,LINKED_SHRP_ID,SHRP_ID,STATE_CODE,LAYER_NO,FIELD_SET,TEST_NO,LOC_NO,CONSTRUCTION_NO,SAMPLE_NO,THREE_PASSING,TWO_PASSING,ONE_AND_HALF_PASSING,ONE_PASSING,THREE_FOURTHS_PASSING,ONE_HALF_PASSING,THREE_EIGHTHS_PASSING,NO_4_PASSING,NO_10_PASSING,NO_40_PASSING,NO_80_PASSING,NO_200_PASSING,HYDRO_02,HYDRO_002,HYDRO_001
1,122,117,4,1,1,2,B304,1,BS04,100,100,99,96,95,90,88,79,66,38,27,17.20000076,13.30000019,7.400000095,6.699999809
1,122,124,4,1,1,2,B305,1,BS05,100,98,96,94,93,89,86,76,59,33,23,14.60000038,10.60000038,5.400000095,4.099999905
1,124,122,4,1,1,2,B313,1,BS13,100,93,90,86,84,79,76,69,60,39,27,18.60000038,11.39999962,6.699999809,6
1,162,161,4,1,1,2,B318,1,BS18,100,95,85,81,78,72,68,58,48,28,19,12.69999981,10,5.599999905,5.199999809
1,215,216,4,1,1,2,B306,1,BS06,100,100,100,100,99,97,93,83,75,49,35,25.60000038,13.5,6.900000095,6
1,215,261,4,1,1,2,B301,1,BS01,100,100,98,97,96,92,90,83,78,56,40,29.89999962,14,6.800000191,6.199999809
1,217,223,4,1,1,2,B308,1,BS08,100,100,100,99,97,95,93,88,82,53,34,21.10000038,12.19999981,6.5,5.699999809
1,217,261,4,1,1,2,B301,1,BS01,100,100,98,97,96,92,90,83,78,56,40,29.89999962,14,6.800000191,6.199999809
1,219,261,4,1,1,2,B301,1,BS01,100,100,98,97,96,92,90,83,78,56,40,29.89999962,14,6.800000191,6.199999809
1,220,222,4,1,1,2,B303,1,BS03,100,100,100,98,95,92,89,81,71,45,31,21.70000076,12.69999981,6.5,5.699999809
1,221,213,4,1,1,2,B311,1,BS61,100,100,100,98,97,94,92,85,76,50,35,24.79999924,13.69999981,6.900000095,5.300000191
1,222,263,4,1,1,2,B313,1,BS13,100,100,100,98,97,95,94,89,82,58,44,33,20.29999924,10.39999962,8.800000191
1,223,213,4,1,1,2,B311,1,BS61,100,100,100,98,97,94,92,85,76,50,35,24.79999924,13.69999981,6.900000095,5.300000191
1,223,223,4,1,1,2,B308,1,BS08,100,100,100,99,97,95,93,88,82,53,34,21.10000038,12.19999981,6.5,5.699999809
1,224,265,4,1,1,2,B315,1,BS15,100,100,99,97,96,95,93,88,77,51,37,25.70000076,15.5,7.699999809,7
1,261,213,4,1,1,2,B311,1,BS61,100,100,100,98,97,94,92,85,76,50,35,24.79999924,13.69999981,6.900000095,5.300000191
1,262,261,4,1,1,2,B301,1,BS01,100,100,98,97,96,92,90,83,78,56,40,29.89999962,14,6.800000191,6.199999809
1,263,222,4,1,1,2,B303,1,BS03,100,100,100,98,95,92,89,81,71,45,31,21.70000076,12.69999981,6.5,5.699999809
1,264,220,4,1,1,2,B304,1,BS04,100,100,100,99,97,93,90,83,76,47,31,20.89999962,12.89999962,6.199999809,5.300000191
1,266,220,4,1,1,2,B304,1,BS04,100,100,100,99,97,93,90,83,76,47,31,20.89999962,12.89999962,6.199999809,5.300000191
1,501,507,4,1,1,1,BA*,1,BS*1,100,100,99,97,95,89,86,72,62,44,34,26.39999962,15.10000038,7.099999905,6.400000095
1,503,502,4,1,1,2,TP2,1,BS92,100,100,100,100,100,97,96,87,67,43,36,28.5,15.39999962,6.900000095,5.599999905
1,503,504,4,1,1,2,TP1,1,BS92,100,100,99,98,95,90,86,73,59,41,33,25.5,13.19999981,6.099999905,5.5
1,503,505,4,1,1,2,BA*,1,BS*3,100,100,100,99,97,96,94,87,74,55,47,38.70000076,18.60000038,9.300000191,7.800000191
1,505,505,4,1,1,2,BA*,1,BS*3,100,100,100,99,97,96,94,87,74,55,47,38.70000076,18.60000038,9.300000191,7.800000191
1,506,502,4,1,1,2,TP2,1,BS92,100,100,100,100,100,97,96,87,67,43,36,28.5,15.39999962,6.900000095,5.599999905
1,506,504,4,1,1,2,TP1,1,BS92,100,100,99,98,95,90,86,73,59,41,33,25.5,13.19999981,6.099999905,5.5
1,506,509,4,1,1,1,BA*,1,BS*2,100,100,99,98,98,95,93,83,68,44,35,24.39999962,14.10000038,6.900000095,5.900000095
1,507,505,4,1,1,2,BA*,1,BS*3,100,100,100,99,97,96,94,87,74,55,47,38.70000076,18.60000038,9.300000191,7.800000191
1,508,504,4,1,1,2,TP1,1,BS92,100,100,99,98,95,90,86,73,59,41,33,25.5,13.19999981,6.099999905,5.5
1,508,505,4,1,1,2,BA*,1,BS*3,100,100,100,99,97,96,94,87,74,55,47,38.70000076,18.60000038,9.300000191,7.800000191
1,509,505,4,1,1,2,BA*,1,BS*3,100,100,100,99,97,96,94,87,74,55,47,38.70000076,18.60000038,9.300000191,7.800000191
1,509,507,4,1,1,1,BA*,1,BS*1,100,100,99,97,95,89,86,72,62,44,34,26.39999962,15.10000038,7.099999905,6.400000095
1,509,559,4,1,1,2,BA*,1,BS*4,100,100,100,100,99,98,96,88,71,48,40,32.90000153,18.70000076,8.800000191,7.400000095
1,560,507,4,1,1,1,BA*,1,BS*1,100,100,99,97,95,89,86,72,62,44,34,26.39999962,15.10000038,7.099999905,6.400000095
1,1016,1016,4,1,1,1,BA*,1,BS**,100,99,96,82,74,63,58,47,39,27,19,13.80000019,8.600000381,4.599999905,3.099999905
1,1021,1021,4,1,1,2,TP1,1,BS92,100,100,100,99,98,97,96,91,82,66,43,23.20000076,10.10000038,2.099999905,1
1,6053,6053,4,1,1,2,TP1,1,BS92,100,100,100,100,100,99,99,93,71,51,40,30.39999962,17.20000076,8.399999619,7.300000191
1,6054,6054,4,1,1,1,BA*,1,BS**,100,100,100,100,100,99,99,94,79,50,38,30.10000038,14.39999962,5.800000191,4.199999809
1,6060,6060,4,1,1,2,TP1,2,BS92,100,97,93,90,87,82,79,70,52,28,18,10,9,5.800000191,4.5
1,7613,7613,4,1,1,1,BA*,1,BS**,100,89,85,70,61,50,43,33,26,20,16,13.10000038,9.899999619,4.900000095,3.299999952
1,A320,1036,4,1,1,1,BA*,1,BS**,100,100,99,98,96,92,88,76,56,29,17,12.39999962,8.899999619,6,5
1,A350,1036,4,1,1,2,TP1,1,BS70,100,98,94,93,88,83,78,68,48,22,11,9,7.300000191,6.199999809,5.400000095
1,A430,7613,4,1,1,2,BA*,1,BS**,100,100,100,98,96,92,89,77,70,59,52,43.5,31.89999962,16.10000038,10.89999962
1,A447,7613,4,1,1,2,BA*,1,BS**,100,100,100,98,96,92,89,77,70,59,52,43.5,31.89999962,16.10000038,10.89999962
1,A450,7613,4,1,1,1,BA*,1,BS**,100,89,85,70,61,50,43,33,26,20,16,13.10000038,9.899999619,4.900000095,3.299999952
1,B310,1021,4,1,1,2,TP1,1,BS92,100,100,100,99,98,97,96,91,82,66,43,23.20000076,10.10000038,2.099999905,1
1,B350,1021,4,1,1,1,BA*,1,BS**,100,100,99,98,97,94,92,85,74,56,35,19.60000038,11.30000019,4.099999905,2.700000048
1,B961,1007,4,1,1,1,BA*,1,BS**,100,100,100,99,97,94,92,83,61,39,30,23.5,13.89999962,6,3.799999952
1,C330,1017,4,1,1,1,BA*,2,BS**,100,99,99,94,89,83,79,68,55,37,28,22.70000076,18.39999962,8.800000191,6.5
1,D320,1016,4,1,1,1,BA*,1,BS**,100,99,96,82,74,63,58,47,39,27,19,13.80000019,8.600000381,4.599999905,3.099999905
1,D330,1016,4,1,1,1,BA*,1,BS**,100,99,96,82,74,63,58,47,39,27,19,13.80000019,8.600000381,4.599999905,3.099999905
1,D350,1016,4,1,1,2,TP1,1,BS92,100,90,82,76,70,64,60,52,43,30,22,15.19999981,10,4.900000095,3.099999905
1,113,114,5,1,5,1,BA*,1,BS**,100,100,100,100,100,99,99,98,95,87,52,35.5,20.20000076,9.399999619,
1,114,114,5,1,5,2,BA*,1,BS**,100,100,100,100,100,100,100,99,99,87,20,10,7.099999905,4.300000191,
1,114,121,5,1,1,2,B2,1,BS02,100,100,100,100,100,100,100,100,98,92,33,18,11.30000019,6.199999809,6
1,117,119,5,1,1,2,B1,1,BS01,100,100,100,100,100,100,100,100,99,94,49,31,15.30000019,7.699999809,6.699999809
1,119,121,5,1,1,2,B2,1,BS02,100,100,100,100,100,100,100,100,98,92,33,18,11.30000019,6.199999809,6
1,122,117,5,1,1,2,B5,1,BS05,100,100,100,100,100,100,100,100,99,88,39,24,13.30000019,5,4
1,218,215,5,1,1,3,B1,1,BS01,100,100,95.40000153,91.19999695,86.59999847,75.19999695,67.90000153,51.79999924,38.09999847,26.5,18.79999924,13.80000019,9.100000381,2.5,1
1,224,224,5,1,4,2,BA*,4,BS**,100,100,100,100,99,97,95,88,81,74,69,65.30000305,44.90000153,29.29999924,
1,809,809,5,1,1,2,B2,1,BS02,100,100,100,100,100,100,100,100,100,99,99,91.5,45.09999847,21.39999962,
1,810,810,5,1,1,2,B3,1,BS03,100,100,100,100,100,100,100,100,100,99,99,73.80000305,51,23.89999962,
1,2042,2042,5,1,1,2,BA*,1,BS**,100,100,100,100,99,97,96,93,90,85,80,68.90000153,29,14.60000038,0
1,3074,3074,5,1,1,1,BA*,1,BS**,100,100,100,100,100,100,100,100,98,96,95,93.80000305,60,22.89999962,0
1,4019,4019,5,1,1,2,BA*,1,BS**,100,100,100,100,100,100,100,100,100,99,96,37.40000153,13,7.699999809,
1,4046,4046,5,1,1,1,BA*,1,BS**,100,100,100,100,99,99,99,99,99,97,93,91.5,59,33,0
1,A320,3071,5,1,1,1,BA*,1,BS**,100,100,100,100,100,100,100,100,99,98,96,91.5,61,35.79999924,0
1,A430,4021,5,1,1,2,BA*,1,BS**,100,100,99,96,93,87,82,72,63,48,36,31,25,10.89999962,0
1,A605,A606,5,1,1,2,A3,1,BS03,100,100,100,100,100,100,100,99,99,97,95,64.90000153,52.09999847,40.40000153,
1,A607,A601,5,1,1,2,A1,1,BS01,100,100,100,100,100,100,100,100,100,99,98,87.30000305,72,44.40000153,
1,A608,A607,5,1,1,2,TP2,1,BS56,100,100,100,100,96,92,92,90,89,87,86,73.30000305,65.90000153,52.59999847,
1,C410,3059,5,1,1,1,BA*,1,BS**,100,100,100,100,100,99,99,98,93,88,83,55.79999924,15.5,9.199999809,
1,C430,3059,5,1,1,1,BA*,1,BS**,100,100,100,100,100,99,99,98,93,88,83,55.79999924,15.5,9.199999809,
1,202,202,6,1,1,2,B11,1,BS11,100,100,100,100,100,100,100,100,100,80,44,18.10000038,6.5,2.700000048,
1,202,211,6,1,1,1,B7,1,BS07,100,100,100,100,99,97,96,94,93,75,41,18.39999962,7.699999809,2.900000095,
1,203,203,6,1,3,1,BA261,3,BS261,100,100,100,100,98,94,92,89,88,69,35,11,3.599999905,1.100000024,
1,206,207,6,1,1,1,B8,1,BS08,100,100,100,100,100,100,100,100,100,79,42,14.39999962,3.200000048,0.800000012,
1,208,210,6,1,1,1,B10,1,BS10,100,100,100,100,100,100,100,100,99,78,40,16.10000038,5.699999809,2.400000095,
1,208,211,6,1,1,1,B7,1,BS07,100,100,100,100,99,97,96,94,93,75,41,18.39999962,7.699999809,2.900000095,
1,209,204,6,1,1,2,B12,1,BS12,100,100,100,100,100,100,100,100,99,80,46,21.39999962,9.100000381,3.599999905,
1,212,211,6,1,1,1,B7,1,BS07,100,100,100,100,99,97,96,94,93,75,41,18.39999962,7.699999809,2.900000095,
1,501,502,6,1,1,2,TP1,1,BS93,100,100,100,100,100,100,100,99,96,59,31,13.39999962,5.800000191,3.900000095,
1,501,504,6,1,3,2,BA040*,3,BS040*,100,100,100,100,98,95,93,88,81,52,33,20.20000076,12,5.599999905,
1,501,507,6,1,1,2,TP2,1,BS93,100,100,100,100,100,100,100,99,96,64,36,21.79999924,12.60000038,6.199999809,
1,501,509,6,1,1,2,BA6,1,BS02,100,100,100,100,100,99,98,97,91,60,35,20.39999962,13.39999962,7,
1,501,509,6,1,1,2,BA5,1,BS01,100,94,94,93,93,93,93,90,87,59,35,19.70000076,15.30000019,7.900000095,
1,501,560,6,1,1,1,BA7,1,BS01,100,100,100,100,99,98,96,92,84,49,28,16.5,13.5,8.100000381,
1,502,501,6,1,1,1,BA2,1,BS02,100,100,100,99,99,98,97,96,91,58,29,16.39999962,8.800000191,4.199999809,
1,502,502,6,1,1,2,TP1,1,BS93,100,100,100,100,100,100,100,99,96,59,31,13.39999962,5.800000191,3.900000095,
1,502,566,6,1,1,2,TP4,1,BS92,100,100,100,100,100,100,100,99,98,67,34,18.79999924,16.89999962,5.599999905,
1,504,508,6,1,3,1,BA080*,3,BS080*,100,100,97,92,86,78,74,63,52,32,21,12.80000019,7.199999809,3.099999905,
1,505,504,6,1,3,2,BA040*,3,BS040*,100,100,100,100,98,95,93,88,81,52,33,20.20000076,12,5.599999905,
1,505,508,6,1,3,1,BA080*,3,BS080*,100,100,97,92,86,78,74,63,52,32,21,12.80000019,7.199999809,3.099999905,
1,506,505,6,1,1,1,BA4,1,BS02,100,98,93,89,84,78,73,62,50,30,19,11.19999981,4.800000191,2.200000048,
1,506,508,6,1,3,1,BA080*,3,BS080*,100,100,97,92,86,78,74,63,52,32,21,12.80000019,7.199999809,3.099999905,
1,507,502,6,1,3,1,BA020*,4,BS020*,100,100,100,100,97,95,95,91,83,51,30,16.5,11.30000019,5.099999905,
1,508,501,6,1,1,1,BA1,1,BS01,100,100,100,100,100,100,100,99,96,66,35,16.70000076,9.399999619,4.199999809,
1,508,505,6,1,1,1,BA4,1,BS02,100,98,93,89,84,78,73,62,50,30,19,11.19999981,4.800000191,2.200000048,
1,508,566,6,1,1,2,TP4,1,BS92,100,100,100,100,100,100,100,99,98,67,34,18.79999924,16.89999962,5.599999905,
1,509,504,6,1,3,2,BA040*,3,BS040*,100,100,100,100,98,95,93,88,81,52,33,20.20000076,12,5.599999905,
1,509,509,6,1,1,2,BA5,1,BS01,100,94,94,93,93,93,93,90,87,59,35,19.70000076,15.30000019,7.900000095,
1,509,561,6,1,1,2,TP3,1,BS93,100,100,100,100,100,100,100,99,92,52,28,15.89999962,10.5,5.699999809,
1,560,501,6,1,1,1,BA2,1,BS02,100,100,100,99,99,98,97,96,91,58,29,16.39999962,8.800000191,4.199999809,
1,560,502,6,1,1,2,TP1,1,BS93,100,100,100,100,100,100,100,99,96,59,31,13.39999962,5.800000191,3.900000095,
1,560,509,6,1,1,2,BA6,1,BS02,100,100,100,100,100,99,98,97,91,60,35,20.39999962,13.39999962,7,
1,560,560,6,1,1,1,BA8,1,BS02,100,100,100,100,99,97,95,91,83,54,33,19.79999924,13.60000038,6.300000191,
1,560,561,6,1,1,2,TP3,1,BS93,100,100,100,100,100,100,100,99,92,52,28,15.89999962,10.5,5.699999809,
1,560,566,6,1,1,2,TP4,1,BS92,100,100,100,100,100,100,100,99,98,67,34,18.79999924,16.89999962,5.599999905,
1,561,504,6,1,3,2,BA040*,3,BS040*,100,100,100,100,98,95,93,88,81,52,33,20.20000076,12,5.599999905,
1,565,564,6,1,1,2,BA9,1,BS01,100,100,100,99,99,99,98,96,90,66,48,34,20.10000038,9.699999809,
1,566,505,6,1,1,1,BA3,1,BS01,100,100,100,100,100,99,98,95,90,52,30,17.20000076,8.899999619,3.900000095,
1,567,502,6,1,1,2,TP1,1,BS93,100,100,100,100,100,100,100,99,96,59,31,13.39999962,5.800000191,3.900000095,
1,567,560,6,1,1,1,BA7,1,BS01,100,100,100,100,99,98,96,92,84,49,28,16.5,13.5,8.100000381,
1,567,561,6,1,1,2,TP3,1,BS93,100,100,100,100,100,100,100,99,92,52,28,15.89999962,10.5,5.699999809,
1,569,501,6,1,1,1,BA2,1,BS02,100,100,100,99,99,98,97,96,91,58,29,16.39999962,8.800000191,4.199999809,
1,569,566,6,1,1,2,TP4,1,BS92,100,100,100,100,100,100,100,99,98,67,34,18.79999924,16.89999962,5.599999905,
1,570,508,6,1,3,1,BA080*,3,BS080*,100,100,97,92,86,78,74,63,52,32,21,12.80000019,7.199999809,3.099999905,
1,570,561,6,1,1,2,TP3,1,BS93,100,100,100,100,100,100,100,99,92,52,28,15.89999962,10.5,5.699999809,
1,571,505,6,1,1,1,BA3,1,BS01,100,100,100,100,100,99,98,95,90,52,30,17.20000076,8.899999619,3.900000095,
1,571,508,6,1,3,1,BA080*,3,BS080*,100,100,97,92,86,78,74,63,52,32,21,12.80000019,7.199999809,3.099999905,
1,603,3005,6,1,1,2,BA*,1,BS**,100,92,86,77,70,63,57,47,38,24,19,13.30000019,8.300000191,1.399999976,1.100000024
1,604,659,6,1,3,1,BA262,4,BS262,100,100,100,91,86,79,73,59,44,25,17,10.89999962,4.599999905,1.299999952,1
1,605,3005,6,1,1,2,BA*,1,BS**,100,92,86,77,70,63,57,47,38,24,19,13.30000019,8.300000191,1.399999976,1.100000024
1,605,3005,6,1,1,1,BA*,1,BS**,100,98,95,87,82,73,67,54,42,25,19,14,7.300000191,1.5,1.299999952
1,608,662,6,1,3,2,BAX02,5,BSX02,92,88,81,73,64,53,46,33,22,11,7,5,2.200000048,0.300000012,
1,659,3005,6,1,1,2,BA*,1,BS**,100,92,86,77,70,63,57,47,38,24,19,13.30000019,8.300000191,1.399999976,1.100000024
1,660,606,6,1,3,2,BAX01,6,BSX01,100,96,91,88,86,81,77,66,53,33,24,15.39999962,7.5,2,
1,660,660,6,1,3,1,BA261,8,BS261,100,100,98,92,87,80,76,69,60,40,25,10.5,3.200000048,0.899999976,0.699999988
1,663,663,6,1,3,1,BA265,10,BS265,95,94,89,82,75,65,60,46,31,17,12,8.600000381,3.5,0.800000012,0.600000024
1,664,3005,6,1,1,2,BA*,1,BS**,100,92,86,77,70,63,57,47,38,24,19,13.30000019,8.300000191,1.399999976,1.100000024
1,811,812,6,1,1,2,B8,1,BS08,100,100,100,100,100,100,100,100,100,86,43,11.89999962,2.799999952,1.700000048,
1,2038,2038,6,1,1,2,TP1,1,BS92,100,100,100,100,100,100,100,100,99,85,39,25.39999962,24,11.30000019,9.5
1,2041,2041,6,1,1,2,TP1,1,BS92,100,96,91,81,72,60,51,37,31,21,16,11,7.099999905,2.799999952,2
1,2053,2053,6,1,1,1,BA*,1,BS**,100,100,100,100,100,100,98,80,74,67,62,56.20000076,38.70000076,26.10000038,23.10000038
