LINKED_LAYER_NO,LINKED_SHRP_ID,SHRP_ID,STATE_CODE,LAYER_NO,FIELD_SET,TEST_NO,LOC_NO,CONSTRUCTION_NO,SAMPLE_NO,THREE_PASSING,TWO_PASSING,ONE_AND_HALF_PASSING,ONE_PASSING,THREE_FOURTHS_PASSING,ONE_HALF_PASSING,THREE_EIGHTHS_PASSING,NO_4_PASSING,NO_10_PASSING,NO_40_PASSING,NO_80_PASSING,NO_200_PASSING,HYDRO_02,HYDRO_002,HYDRO_001,GT_2MM
1,560,501,6,1,1,1,BA2,1,BS02,100,100,100,99,99,98,97,96,91,58,29,16.39999962,8.800000191,4.199999809,,9
1,560,502,6,1,1,2,TP1,1,BS93,100,100,100,100,100,100,100,99,96,59,31,13.39999962,5.800000191,3.900000095,,4
1,560,509,6,1,1,2,BA6,1,BS02,100,100,100,100,100,99,98,97,91,60,35,20.39999962,13.39999962,7,,9
1,560,560,6,1,1,1,BA8,1,BS02,100,100,100,100,99,97,95,91,83,54,33,19.79999924,13.60000038,6.300000191,,17
1,560,561,6,1,1,2,TP3,1,BS93,100,100,100,100,100,100,100,99,92,52,28,15.89999962,10.5,5.699999809,,8
1,560,566,6,1,1,2,TP4,1,BS92,100,100,100,100,100,100,100,99,98,67,34,18.79999924,16.89999962,5.599999905,,2
1,561,504,6,1,3,2,BA040*,3,BS040*,100,100,100,100,98,95,93,88,81,52,33,20.20000076,12,5.599999905,,19
1,566,505,6,1,1,1,BA3,1,BS01,100,100,100,100,100,99,98,95,90,52,30,17.20000076,8.899999619,3.900000095,,10
1,567,502,6,1,1,2,TP1,1,BS93,100,100,100,100,100,100,100,99,96,59,31,13.39999962,5.800000191,3.900000095,,4
1,567,560,6,1,1,1,BA7,1,BS01,100,100,100,100,99,98,96,92,84,49,28,16.5,13.5,8.100000381,,16
1,567,561,6,1,1,2,TP3,1,BS93,100,100,100,100,100,100,100,99,92,52,28,15.89999962,10.5,5.699999809,,8
1,569,501,6,1,1,1,BA2,1,BS02,100,100,100,99,99,98,97,96,91,58,29,16.39999962,8.800000191,4.199999809,,9
1,569,566,6,1,1,2,TP4,1,BS92,100,100,100,100,100,100,100,99,98,67,34,18.79999924,16.89999962,5.599999905,,2
1,570,508,6,1,3,1,BA080*,3,BS080*,100,100,97,92,86,78,74,63,52,32,21,12.80000019,7.199999809,3.099999905,,48
1,570,561,6,1,1,2,TP3,1,BS93,100,100,100,100,100,100,100,99,92,52,28,15.89999962,10.5,5.699999809,,8
1,571,505,6,1,1,1,BA3,1,BS01,100,100,100,100,100,99,98,95,90,52,30,17.20000076,8.899999619,3.900000095,,10
1,571,508,6,1,3,1,BA080*,3,BS080*,100,100,97,92,86,78,74,63,52,32,21,12.80000019,7.199999809,3.099999905,,48
1,603,3005,6,1,1,2,BA*,1,BS**,100,92,86,77,70,63,57,47,38,24,19,13.30000019,8.300000191,1.399999976,1.100000024,62
1,604,659,6,1,3,1,BA262,4,BS262,100,100,100,91,86,79,73,59,44,25,17,10.89999962,4.599999905,1.299999952,1,56
1,605,3005,6,1,1,2,BA*,1,BS**,100,92,86,77,70,63,57,47,38,24,19,13.30000019,8.300000191,1.399999976,1.100000024,62
1,605,3005,6,1,1,1,BA*,1,BS**,100,98,95,87,82,73,67,54,42,25,19,14,7.300000191,1.5,1.299999952,58
1,608,662,6,1,3,2,BAX02,5,BSX02,92,88,81,73,64,53,46,33,22,11,7,5,2.200000048,0.300000012,,78
